No,CPA Pretty Well ID,Reference (KB) Elev. (ft),Ground Elevation (ft),MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),On Prod YYYY/MM/DD,First Prod YYYY/MM,Last Prod. YYYY/MM,Stimulation Fluid,Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Composition,Proppant Name 1,Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),GAS_MONTH_1,GAS_MONTH_2,GAS_MONTH_3,GAS_MONTH_4,GAS_MONTH_5,GAS_MONTH_6,GAS_MONTH_7,GAS_MONTH_8,GAS_MONTH_9,GAS_MONTH_10,GAS_MONTH_11,GAS_MONTH_12,GAS_MONTH_13,GAS_MONTH_14,GAS_MONTH_15,GAS_MONTH_16,GAS_MONTH_17,GAS_MONTH_18,GAS_MONTH_19,GAS_MONTH_20,GAS_MONTH_21,GAS_MONTH_22,GAS_MONTH_23,GAS_MONTH_24,GAS_MONTH_25,GAS_MONTH_26,GAS_MONTH_27,GAS_MONTH_28,GAS_MONTH_29,GAS_MONTH_30,CND_MONTH_1,CND_MONTH_2,CND_MONTH_3,CND_MONTH_4,CND_MONTH_5,CND_MONTH_6,CND_MONTH_7,CND_MONTH_8,CND_MONTH_9,CND_MONTH_10,CND_MONTH_11,CND_MONTH_12,CND_MONTH_13,CND_MONTH_14,CND_MONTH_15,CND_MONTH_16,CND_MONTH_17,CND_MONTH_18,CND_MONTH_19,CND_MONTH_20,CND_MONTH_21,CND_MONTH_22,CND_MONTH_23,CND_MONTH_24,CND_MONTH_25,CND_MONTH_26,CND_MONTH_27,CND_MONTH_28,CND_MONTH_29,CND_MONTH_30,HRS_MONTH_1,HRS_MONTH_2,HRS_MONTH_3,HRS_MONTH_4,HRS_MONTH_5,HRS_MONTH_6,HRS_MONTH_7,HRS_MONTH_8,HRS_MONTH_9,HRS_MONTH_10,HRS_MONTH_11,HRS_MONTH_12,HRS_MONTH_13,HRS_MONTH_14,HRS_MONTH_15,HRS_MONTH_16,HRS_MONTH_17,HRS_MONTH_18,HRS_MONTH_19,HRS_MONTH_20,HRS_MONTH_21,HRS_MONTH_22,HRS_MONTH_23,HRS_MONTH_24,HRS_MONTH_25,HRS_MONTH_26,HRS_MONTH_27,HRS_MONTH_28,HRS_MONTH_29,HRS_MONTH_30,PRICE ($),Per Month Operation Cost ($)
768,307,3223,3195,19767,10941,0.298389159,0.048398877,0.439641649,2018.5.2,2018.3.1,2021.7.31,Slickwater,6334.96,158.37,52761.1,1319.03,40,2510.8,63.38,48.76,53051.5,21.01,2.52,Sand,Sand,40/70,158.37,6334.96,0,6334.96,90525,128622,115455,97170,87573,82590,77259,70509,61314,57045,52380,51294,47244,43593,47025,44967,43206,40554,29151,24390,30930,27948,28761,28833,29925,30495,30576,29475,28095,27033,27189,33213,21042,14403,14619,13548,12162,11109,10794,10062,8778,8166,6948,6966,6891,6531,5976,5688,6201,4578,5064,4635,4476,4050,3993,4002,3906,3786,3834,3576,327,698,717,719,699,641,713,741,717,675,738,669,744,719,742,717,744,734,448,692,717,741,734,694,741,718,742,717,743,739,624000,50000
770,308,3223,3195,20735,10929,0.628069269,0.048271674,0.454206279,2018.5.2,2018.3.1,2021.7.31,Slickwater,5768.38,144.21,52024,1300.6,40,2781.1,70.75,2594.25,52246.63,18.71,2.07,Sand,Sand,40/70,144.21,5768.38,0,5768.38,82548,149382,110553,104901,96168,89160,71589,70515,64947,60765,58461,50481,48186,44547,45870,43224,42072,41877,34287,23709,30474,28530,29391,29391,28788,28071,27444,26511,25701,24903,20898,30459,19383,13893,11331,9672,8082,8298,7356,6588,6285,5946,5343,5277,4953,4683,4338,4230,4026,3303,4491,3864,3630,3348,3276,3072,2874,2745,2790,2733,408,697,722,720,741,743,646,732,716,744,740,669,744,719,742,715,744,734,485,697,717,741,733,694,741,718,742,716,742,740,683000,50000
774,309,3210,3177,20669,10689,0.879365809,0.054775465,0.470127956,2018.4.26,2018.3.1,2021.7.31,Slickwater: BJ-ThinFrac,5800.15,145,58878.3,1471.96,40,2928,73.49,84,60420.8,20.11,1.98,Sand,Ottawa,40/70,145,5800.15,0,5800.15,93117,147762,107490,100284,92523,85140,78147,68925,61722,60222,52563,50580,45894,43608,44802,43359,41220,39948,39318,36159,38364,34101,34782,34833,35304,34389,33366,32610,31230,29613,18438,11691,22794,13617,9894,8913,7638,6873,6036,5742,5265,4920,4413,4215,4074,3885,3606,3507,3357,3387,3819,3252,3051,2829,2748,2640,2565,2478,2505,2400,225,106,743,706,740,743,614,742,717,744,739,667,744,715,742,717,744,717,626,675,582,741,735,693,739,718,741,717,742,742,790000,50000
776,310,3210,3177,21161,10688,0.851539518,0.064287004,0.475835869,2018.4.25,2018.2.1,2021.7.31,Slickwater: BJ-ThinFrac,5476.53,152.13,52751.1,1465.31,36,2984.29,75.54,6475.75,53730.33,17.68,1.84,Sand,Ottawa,40/70,152.13,5476.53,0,5476.53,34737,106224,155949,127005,139134,124866,119358,108003,94119,85305,88143,79341,77112,71139,62538,62766,62202,61500,60174,58797,56268,59373,51969,51153,49353,46359,46440,45228,43155,39441,7329,17892,42867,23517,18891,12624,11208,10107,8715,8175,8472,7461,7062,6483,5628,5655,5493,5190,4866,4557,4455,4968,4236,4059,3696,3246,3231,3141,3036,2826,364,636,93,739,707,741,743,713,739,717,641,740,668,742,719,742,717,744,734,713,701,573,742,737,693,743,718,743,718,743,1131000,100000
778,311,3210,3177,20997,10889,0.86761581,0.059293241,0.472966792,2018.4.26,2018.3.1,2021.7.31,Slickwater: BJ-ThinFrac,5862.49,158.45,48492.1,1310.6,37,2914.64,73.84,3645.81,49947.57,16.64,2.01,Sand,White,40/70,158.45,5862.49,0,5862.49,126957,150156,120177,160371,148350,137898,130122,112587,108387,103542,90876,87867,79188,71946,70422,68154,65805,63891,60261,51843,55188,53955,53424,52290,47721,47901,47376,47085,41868,38934,20286,37269,31566,21264,15708,14169,13206,11487,11082,10878,8052,7608,6891,6273,6207,5925,5877,5820,5358,5175,5502,4977,4671,4176,3615,3624,3522,3459,3270,2964,551,109,733,707,739,743,712,739,717,656,739,668,742,717,742,717,744,734,621,690,718,742,738,693,743,718,743,718,743,742,1015000,100000
780,312,3204,3175,18196,10789,2.538636364,0.07182894,0.438500066,2017.2.18,2017.2.1,2021.7.31,Slickwater,6390.12,159.75,71161.43,1779.04,40,2134.72,53.92,7058.67,71630.8,33.34,2.99,Sand,Sand,40/70,159.75,6390.12,0,6390.12,99669,223929,226011,157035,133788,124851,114081,102363,97890,93000,90018,0,0,0,3921,24009,25611,29535,32808,33756,36714,35247,33600,32328,32886,28239,29154,25038,31752,31437,0,354,0,35868,25893,22827,20469,16632,15273,14184,13284,0,0,0,18,3906,4071,4245,4443,4362,4335,4095,4011,3984,3885,3321,3675,3321,3807,3480,216,216,533,743,713,720,679,720,744,720,744,0,0,0,24,534,717,721,735,711,736,717,744,739,668,744,719,741,710,744,637000,50000
782,313,3204,3177,18235,10933,4.102564103,0.0719028,0.445901453,2017.2.16,2017.2.1,2021.7.31,Slickwater,6219,155.48,44338.99,1108.47,40,2131.08,53.66,5937.51,44565.61,20.81,2.92,Sand,Sand,40/70,155.48,6219,0,6219,147357,250092,243417,178293,155295,135120,115458,96615,91302,87486,76860,139422,0,0,0,21516,20469,20331,20589,21033,20430,17583,15549,15432,17124,15366,14976,14421,17961,16848,0,390,0,36834,28068,23796,20304,15561,14562,13656,11886,14802,0,0,0,3750,3258,3213,3234,3309,3201,2961,2787,2742,2925,2724,2805,2703,2943,2667,264,120,552,744,716,724,671,720,743,720,744,6,0,0,0,552,719,720,735,710,736,716,744,738,667,744,719,742,711,744,746000,50000
818,324,3179,3151,21119,10494,1.149299786,0.123576142,0.602619592,2018.7.22,2018.6.1,2021.7.31,Slickwater,5852.91,99.2,48531,822.56,59,2839.7,48.81,1259.15,55500.64,17.09,2.06,Sand,Sand,100,2.27,134.11,0,5852.91,15786,198345,205971,241956,201543,233187,201144,163509,141390,121665,108399,93993,91410,78462,74715,69993,64758,64188,64188,62442,59712,56475,55377,54027,52872,50658,51483,49320,44739,45522,2784,29652,25347,27540,22044,21309,16023,13137,11079,9213,7038,6309,6390,5643,5148,5643,5400,5187,5010,4782,4398,4023,3885,3783,3618,3660,3507,3483,3384,3462,48,704,738,717,740,715,731,744,667,744,674,741,484,741,741,719,744,719,737,744,696,741,720,742,719,744,741,710,744,718,1409000,100000
820,325,3179,3151,19718,10612,0.931765613,0.13577947,0.602211344,2018.7.24,2018.7.1,2021.7.31,Slickwater,5888.18,98.14,52348.7,872.48,60,2580.9,43.63,1236.42,53861.1,20.28,2.28,Sand,Sand,100,1.64,98.13,0,5888.18,206499,207615,268698,217683,234696,208965,170103,139845,121527,105600,88197,79560,66681,65913,62730,58170,57384,57459,56097,52527,48717,45648,44397,43359,41532,40464,37938,36423,34413,34575,28734,24240,27822,20319,16539,12159,10272,8673,7584,5556,5301,5280,4236,4197,4356,4050,4080,3960,3705,3315,3015,2739,2604,2529,2556,2295,2415,2421,2244,2280,655,728,720,740,714,731,742,668,744,677,741,611,741,741,718,744,719,737,744,696,742,720,743,719,744,741,718,744,719,744,970000,50000
822,326,3172,3151,21473,10683,1.157806913,0.123370975,0.602793476,2018.7.23,2018.6.1,2021.7.31,Slickwater,5907.44,100.13,45846.4,777.06,59,2837.9,48.82,6054.44,50615,16.16,2.08,Sand,Sand,100,2.31,136.51,0,5907.44,146256,221346,214224,254631,241512,223845,260229,278034,242493,212469,190485,170295,166752,151113,142665,132132,120774,118878,109455,102957,98514,93309,90168,86400,81858,76542,65796,62640,60186,58500,23238,32763,24735,27957,24351,21810,19716,19614,16518,14832,10929,9726,9114,8394,7851,8640,789,786,714,7011,678,6111,6018,5598,5034,4917,4074,4368,4305,4236,240,721,730,716,741,702,729,744,668,744,714,741,711,742,742,719,744,719,698,744,696,744,720,744,720,743,666,720,744,719,1565000,100000
824,327,3172,3151,19449,10657,12.63390663,0.142906969,0.605579391,2018.7.24,2018.6.1,2021.7.31,Slickwater,5878.23,99.63,47305.1,801.78,59,2514.1,43.24,4742.57,49023.35,18.82,2.34,Sand,Sand,100,1.56,91.79,0,5878.23,107421,204015,195801,213348,208266,230187,182403,149502,117744,94170,82320,65337,75144,76260,68958,63162,56517,54537,46251,36318,40422,42090,41169,39693,37416,35511,32841,31623,29574,28821,20496,32109,25893,24564,19734,17157,13365,10542,8739,8376,7173,5952,7035,7083,6456,7245,8802,6210,7161,6504,3828,3237,3066,2886,2772,2742,2499,2511,2415,2427,166,730,724,690,738,706,730,744,667,744,713,719,654,742,742,715,744,719,711,744,694,744,718,743,719,744,742,719,744,708,676000,50000
826,328,3179,3151,19872,10535,0.963054187,0.143075206,0.612769094,2018.7.22,2018.7.1,2021.7.31,Slickwater,5721.85,96.98,55474.6,940.25,59,2736.1,46.27,0,57285.3,20.28,2.09,Sand,Sand,100,2.69,158.88,0,5721.85,183996,188874,227799,195105,155697,121695,97704,71484,54732,52509,47760,45642,46620,44412,42117,39369,39999,44376,46113,44541,40296,36258,35463,34788,32517,33324,31830,31008,29961,27951,32604,31974,30150,23793,17103,12501,8667,7500,5898,6216,5637,5532,5028,4800,4677,4425,4170,4392,4476,3987,3657,2991,2979,2886,2775,2901,2733,2733,2697,2370,698,737,712,740,712,727,742,571,744,669,740,702,741,741,719,744,719,736,744,696,742,720,742,719,743,739,718,744,711,744,880000,50000
828,329,3172,3151,20318,10680,2.262260128,0.144084627,0.620488008,2018.7.23,2018.6.1,2021.7.31,Slickwater,5999.39,99.99,46117.7,768.63,60,2791.3,47.19,2737.49,50268.8,16.52,2.15,Sand,Sand,100,1.46,87.47,0,5999.39,102384,203235,206946,231015,226155,224853,193863,174246,153309,137682,122721,108642,100278,82662,81210,76782,72222,72813,68877,65469,64152,60936,58230,52770,55560,51078,46125,45462,43194,44787,25425,37758,26808,25539,21486,19002,15402,14028,12573,11352,8586,8094,7272,7185,7098,8646,9336,7896,6984,7614,8340,6678,4668,4278,4521,4224,3900,4077,4038,4254,120,712,738,713,741,704,731,742,667,744,713,741,587,741,741,719,744,719,744,744,696,744,720,742,719,744,742,718,744,712,1297000,100000
830,330,2884,2863,18589,10249,3.917842324,0.154445557,0.662412822,2014.8.1,2014.8.1,2021.7.31,Water,3770.33,117.82,7119.2,222.48,32,2480.14,78.81,2987.29,7223.4,2.87,1.52,Ceramic/Sand,HydroProp,40/80,15.31,490,490,3280.33,28605,153498,71847,123891,0,0,196260,154335,108924,97704,76890,70467,71754,61359,80808,43368,43623,0,36786,25140,23649,33957,29295,32385,32958,27591,29517,26424,22245,17805,12261,18180,0,0,0,0,9372,12972,13551,8061,6495,4998,5787,4632,7104,4095,3558,0,2781,2664,2832,3603,3540,3315,3162,2400,2727,2781,1887,1887,100,585,744,720,0,0,240,703,688,705,708,616,549,424,401,681,658,0,668,390,446,372,456,239,666,688,499,700,733,739,701000,50000
837,334,2884,2863,19213,10230,0.799028537,0.160543118,0.68344138,2014.9.1,2014.9.1,2021.7.31,Water,3916.37,111.9,8007.1,228.77,35,2691.77,76.82,2012.96,9157.5,2.97,1.45,Ceramic/Sand,HydroProp,40/80,7.47,261.39,537.49,3378.88,0,0,0,0,0,198291,148545,103149,91587,97290,81645,78396,70251,96735,74493,56628,0,0,0,0,0,0,0,0,0,0,0,0,30870,27831,0,0,0,0,0,10050,15006,13773,9924,11991,9894,8484,6273,9654,6786,5376,0,0,0,0,0,0,0,0,0,0,0,0,2637,2604,0,0,0,0,0,560,696,687,244,415,509,554,429,440,685,575,0,0,0,0,0,0,0,0,0,0,0,0,732,664,874000,50000
852,338,3080,3060,19734,10089,2.973747017,0.280225191,0.741457975,2017.11.27,2017.11.1,2021.7.31,Slickwater,6248.25,231.42,43441.6,1608.95,27,2595.7,98.38,1098.08,46242.55,16.74,2.41,Sand,Sand,40/70,231.42,6248.25,0,6248.25,82164,147960,109713,78528,69372,60405,54228,50430,42396,42669,42492,39459,36729,32415,27528,27081,33141,32595,30828,30018,29385,28380,27063,25290,26022,24639,23277,21987,20136,20316,24261,40692,26856,17889,14517,11994,10584,10056,9033,8877,8052,7350,7002,6153,4440,4620,5538,5241,4770,4488,4347,4491,4362,4026,3996,3717,3327,3021,3561,3804,264,732,740,672,672,718,733,693,736,727,700,735,703,731,742,672,729,713,732,717,738,728,711,741,709,734,726,692,734,703,569000,50000
854,339,3080,3060,19127,10314,1.587677725,0.280077471,0.734854184,2017.11.20,2017.11.1,2021.7.31,Slickwater,6319.16,234.04,39159.2,1450.34,27,2192.3,82.88,3336.29,43148.98,17.86,2.88,Sand,Sand,40/70,234.04,6319.16,0,6319.16,88026,124965,80148,53706,54657,49131,43311,39897,37269,35967,35652,33231,31731,27327,22173,18735,29571,29220,27243,26424,24372,24285,23727,21348,21792,20667,20094,19932,19497,18597,26040,38715,21573,14490,11418,10113,9390,8211,7560,7629,6960,6456,5769,5097,3516,3381,4971,4386,4020,3732,3459,3468,3330,3024,3138,2982,2703,2595,3063,2619,408,671,650,564,728,717,712,677,734,708,704,735,700,728,743,665,721,715,732,716,740,733,716,736,715,733,733,695,744,720,425000,30000
856,340,3079,3061,21588,10211,5.305764411,0.280253915,0.751516755,2017.11.27,2017.11.1,2021.7.31,Slickwater,6356,235.41,41034.1,1519.78,27,2793.3,105.96,1016,46336.55,14.69,2.28,Sand,Sand,40/70,235.41,6356,0,6356,57012,121395,144666,126840,110202,94338,87270,79698,80418,71052,73929,67407,68136,66420,65670,61596,57321,52653,49590,47697,43281,41256,37962,42516,42333,40281,39063,32922,31152,32181,24708,49176,43272,36018,28482,22890,15624,14136,12852,12561,16593,11790,11316,11475,9507,8025,7548,7944,7956,7461,6570,6357,5964,6636,6348,6183,5751,8031,7839,7659,336,729,642,608,663,718,736,694,735,725,698,730,699,726,740,672,738,720,713,720,742,736,720,741,707,740,726,692,736,719,865000,50000
860,342,2657,2634,16119,9467,41.77922078,0.479356104,0.943022926,2017.8.29,2017.4.1,2021.7.31,Slickwater: CSG-Optimum SW,6402,160.05,42439.19,1060.98,40,1885.19,47.59,3311.11,42518.34,22.51,3.4,Sand,Ottawa,40/70,160.05,6402,0,6402,24156,97557,80013,0,72819,59793,37698,56340,47007,52791,53100,50757,48309,51366,39132,50196,52440,49521,26061,33729,15177,0,36543,16527,11268,8265,6657,0,0,41838,11730,49179,41235,0,33693,39678,21114,24093,18594,16026,15441,15132,10650,10170,6795,7164,6933,5532,10026,5916,6030,0,12183,5289,3027,2514,3066,0,0,12522,72,744,576,0,72,648,726,709,699,455,86,551,530,671,720,694,665,370,8,380,65,0,35,733,695,694,280,0,0,66,1059000,100000
863,343,2564,2547,17421,9371,0.614054533,0.471518728,1,2013.10.26,2013.10.1,2021.7.31,Oil: HAL-My-T-Oil,962,45.81,3283.6,156.36,21,2189.7,95.2,1097.09,3253.23,1.5,0.44,Ceramic/Sand,EconoProp,30/50,21.1,443,443,519,75966,50277,63174,74262,50544,39909,31545,22311,18414,21351,20154,12945,25386,18471,19026,27555,27984,18939,10482,0,0,0,36399,48411,35613,24702,36168,27282,22266,22509,0,2793,13071,10641,5412,3894,4014,3114,2937,3315,2874,2256,5055,2655,2595,4839,3558,1695,813,0,0,0,9441,9333,7185,3453,6435,3714,3648,3327,130,480,382,711,672,743,643,676,720,458,640,320,370,691,267,367,562,713,123,0,0,0,162,25,311,614,200,259,371,434,591000,50000
